time,measurement,set_temp
00:00:00,26,0.0165528
00:00:10,37,2.0236072000000003
00:00:20,30,4.0320414
00:00:30,61,6.0406922
00:00:40,61,8.0488374
00:00:50,88,10.057056000000001
00:01:00,39,12.0266464
00:01:10,6,12.8447516
00:01:20,51,13.663002488888889
00:01:30,71,14.481164318518518
00:01:40,47,15.299348637037037
00:01:50,74,16.11740511111111
00:02:00,37,16.935520333333333
00:02:10,59,17.75367466666667
00:02:20,94,18.57184236296296
00:02:30,14,19.389910488888887
00:02:40,4,20.20799091851852
00:02:50,34,21.026190392592593
00:03:00,89,21.8444706962963
00:03:10,77,22.66274708888889
00:03:20,62,23.481128755555552
00:03:30,81,24.29948165925926
00:03:41,22,25.118741451851854
00:03:51,63,25.93717494074074
00:04:01,60,26.75554308148148
00:04:11,64,27.57382542222222
00:04:21,9,28.392035733333334
00:04:31,83,29.21035254074074
00:04:41,54,30.028802977777776
00:04:51,8,30.846935555555554
00:05:01,96,31.665171125925927
00:05:11,45,32.483438311111115
