time,temp
01:00:00,0
01:00:01,12
01:00:10,56
01:01:00,100
01:10:00,0
01:10:01,12
01:10:10,56
01:11:00,100
01:20:00,0
01:20:01,12
01:20:10,56
01:21:00,100
02:06:00,0
02:06:01,12
02:06:10,56
02:07:00,100
02:16:00,0
02:16:01,12
02:16:10,56
02:17:00,100
03:02:00,0
03:02:01,12
03:02:10,56
03:03:00,100
03:12:00,0
03:12:01,12
03:12:10,56
03:13:00,100
03:22:00,0
03:22:01,12
03:22:10,56
03:23:00,100
04:08:00,0
04:08:01,12
04:08:10,56
04:09:00,100
04:18:00,0
04:18:01,12
04:18:10,56
04:19:00,100
05:04:00,0
05:04:01,12
05:04:10,56
05:05:00,100
05:14:00,0
05:14:01,12
05:14:10,56
05:15:00,100
06:00:00,0
06:00:01,12
06:00:10,56
06:01:00,100
06:10:00,0
06:10:01,12
06:10:10,56
06:11:00,100
06:20:00,0
06:20:01,12
06:20:10,56
06:21:00,100
07:06:00,0
07:06:01,12
07:06:10,56
07:07:00,100
07:16:00,0
07:16:01,12
07:16:10,56
07:17:00,100
08:02:00,0
08:02:01,12
08:02:10,56
08:03:00,100
08:12:00,0
08:12:01,12
08:12:10,56
08:13:00,100
08:22:00,0
08:22:01,12
08:22:10,56
08:23:00,100
09:08:00,0
09:08:01,12
09:08:10,56
09:09:00,100
09:18:00,0
09:18:01,12
09:18:10,56
09:19:00,100
10:04:00,0
10:04:01,12
10:04:10,56
10:05:00,100
10:14:00,0
10:14:01,12
10:14:10,56
10:15:00,100
11:00:00,0
11:00:01,12
11:00:10,56
11:01:00,100
11:10:00,0
11:10:01,12
11:10:10,56
11:11:00,100
11:20:00,0
11:20:01,12
11:20:10,56
11:21:00,100
12:06:00,0
12:06:01,12
12:06:10,56
12:07:00,100
12:16:00,0
12:16:01,12
12:16:10,56
12:17:00,100
13:02:00,0
13:02:01,12
13:02:10,56
13:03:00,100
13:12:00,0
13:12:01,12
13:12:10,56
13:13:00,100
13:22:00,0
13:22:01,12
13:22:10,56
13:23:00,100
14:08:00,0
14:08:01,12
14:08:10,56
14:09:00,100
14:18:00,0
14:18:01,12
14:18:10,56
14:19:00,100
15:04:00,0
15:04:01,12
15:04:10,56
15:05:00,100
15:14:00,0
15:14:01,12
15:14:10,56
15:15:00,100
16:00:00,0
16:00:01,12
16:00:10,56
16:01:00,100
16:10:00,0
16:10:01,12
16:10:10,56
16:11:00,100
16:20:00,0
16:20:01,12
16:20:10,56
16:21:00,100
17:06:00,0
17:06:01,12
17:06:10,56
17:07:00,100
17:16:00,0
17:16:01,12
17:16:10,56
17:17:00,100
18:02:00,0
18:02:01,12
18:02:10,56
18:03:00,100
18:12:00,0
18:12:01,12
18:12:10,56
18:13:00,100
18:22:00,0
18:22:01,12
18:22:10,56
18:23:00,100
19:08:00,0
19:08:01,12
19:08:10,56
19:09:00,100
19:18:00,0
19:18:01,12
19:18:10,56
19:19:00,100
20:04:00,0
20:04:01,12
20:04:10,56
20:05:00,100
20:14:00,0
20:14:01,12
20:14:10,56
20:15:00,100
21:00:00,0
21:00:01,12
21:00:10,56
21:01:00,100
21:10:00,0
21:10:01,12
21:10:10,56
21:11:00,100
21:20:00,0
21:20:01,12
21:20:10,56
21:21:00,100
22:06:00,0
22:06:01,12
22:06:10,56
22:07:00,100
22:16:00,0
22:16:01,12
22:16:10,56
22:17:00,100
23:02:00,0
23:02:01,12
23:02:10,56
23:03:00,100
23:12:00,0
23:12:01,12
23:12:10,56
23:13:00,100
23:22:00,0
23:22:01,12
23:22:10,56
23:23:00,100
24:08:00,0
24:08:01,12
24:08:10,56
24:09:00,100
24:18:00,0
24:18:01,12
24:18:10,56
24:19:00,100
25:04:00,0
25:04:01,12
25:04:10,56
25:05:00,100
25:14:00,0
25:14:01,12
25:14:10,56
25:15:00,100
26:00:00,0
26:00:01,12
26:00:10,56
26:01:00,100
26:10:00,0
26:10:01,12
26:10:10,56
26:11:00,100
26:20:00,0
26:20:01,12
26:20:10,56
26:21:00,100
27:06:00,0
27:06:01,12
27:06:10,56
27:07:00,100
27:16:00,0
27:16:01,12
27:16:10,56
27:17:00,100
28:02:00,0
28:02:01,12
28:02:10,56
28:03:00,100
28:12:00,0
28:12:01,12
28:12:10,56
28:13:00,100
28:22:00,0
28:22:01,12
28:22:10,56
28:23:00,100
29:08:00,0
29:08:01,12
29:08:10,56
29:09:00,100
29:18:00,0
29:18:01,12
29:18:10,56
29:19:00,100
30:04:00,0
30:04:01,12
30:04:10,56
30:05:00,100
30:14:00,0
30:14:01,12
30:14:10,56
30:15:00,100
31:00:00,0
31:00:01,12
31:00:10,56
31:01:00,100
31:10:00,0
31:10:01,12
31:10:10,56
31:11:00,100
31:20:00,0
31:20:01,12
31:20:10,56
31:21:00,100
